"year","month","work_date","ppc_storage_temperature","SHD"
"2025","4","2025-04-01","FROZEN","14.07"
"2025","4","2025-04-01","ROOM_TEMPERATURE","18.76"
"2025","4","2025-04-01","REFRIGERATION","2.04"
"2025","4","2025-04-02","REFRIGERATION","2.09"
"2025","4","2025-04-02","FROZEN","14.13"
"2025","4","2025-04-02","ROOM_TEMPERATURE","18.73"
"2025","4","2025-04-03","FROZEN","14.20"
"2025","4","2025-04-03","ROOM_TEMPERATURE","18.82"
"2025","4","2025-04-03","REFRIGERATION","2.18"
"2025","4","2025-04-04","REFRIGERATION","2.49"
"2025","4","2025-04-04","ROOM_TEMPERATURE","19.22"
"2025","4","2025-04-04","FROZEN","14.69"
"2025","4","2025-04-05","REFRIGERATION","2.61"
"2025","4","2025-04-05","FROZEN","14.50"
"2025","4","2025-04-05","ROOM_TEMPERATURE","18.89"
"2025","4","2025-04-06","FROZEN","14.25"
"2025","4","2025-04-06","REFRIGERATION","2.61"
"2025","4","2025-04-06","ROOM_TEMPERATURE","18.70"
"2025","4","2025-04-07","FROZEN","14.26"
"2025","4","2025-04-07","ROOM_TEMPERATURE","18.76"
"2025","4","2025-04-07","REFRIGERATION","2.20"
"2025","4","2025-04-08","FROZEN","14.17"
"2025","4","2025-04-08","REFRIGERATION","2.19"
"2025","4","2025-04-08","ROOM_TEMPERATURE","18.94"
"2025","4","2025-04-09","FROZEN","14.20"
"2025","4","2025-04-09","ROOM_TEMPERATURE","18.81"
"2025","4","2025-04-09","REFRIGERATION","2.35"
"2025","4","2025-04-10","FROZEN","14.14"
"2025","4","2025-04-10","REFRIGERATION","2.50"
"2025","4","2025-04-10","ROOM_TEMPERATURE","18.69"
"2025","4","2025-04-11","FROZEN","14.01"
"2025","4","2025-04-11","ROOM_TEMPERATURE","18.72"
"2025","4","2025-04-11","REFRIGERATION","2.67"
"2025","4","2025-04-12","FROZEN","13.39"
"2025","4","2025-04-12","REFRIGERATION","2.65"
"2025","4","2025-04-12","ROOM_TEMPERATURE","18.28"
"2025","4","2025-04-13","ROOM_TEMPERATURE","17.45"
"2025","4","2025-04-13","REFRIGERATION","2.20"
"2025","4","2025-04-13","FROZEN","12.19"
"2025","4","2025-04-14","FROZEN","11.95"
"2025","4","2025-04-14","REFRIGERATION","1.78"
"2025","4","2025-04-14","ROOM_TEMPERATURE","17.43"
"2025","4","2025-04-15","REFRIGERATION","1.84"
"2025","4","2025-04-15","FROZEN","12.11"
"2025","4","2025-04-15","ROOM_TEMPERATURE","17.66"
"2025","4","2025-04-16","REFRIGERATION","2.02"
"2025","4","2025-04-16","ROOM_TEMPERATURE","17.89"
"2025","4","2025-04-16","FROZEN","12.40"
"2025","4","2025-04-17","REFRIGERATION","2.33"
"2025","4","2025-04-17","FROZEN","13.09"
"2025","4","2025-04-17","ROOM_TEMPERATURE","18.47"
"2025","4","2025-04-18","REFRIGERATION","2.64"
"2025","4","2025-04-18","ROOM_TEMPERATURE","18.66"
"2025","4","2025-04-18","FROZEN","13.33"
"2025","4","2025-04-19","FROZEN","12.99"
"2025","4","2025-04-19","REFRIGERATION","2.61"
"2025","4","2025-04-19","ROOM_TEMPERATURE","18.26"
"2025","4","2025-04-20","ROOM_TEMPERATURE","18.19"
"2025","4","2025-04-20","REFRIGERATION","2.59"
"2025","4","2025-04-20","FROZEN","12.60"
